City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Camocim,BR,31.12,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
294,Santa Vitoria,BR,29.7,broken clouds,-18.8386,-50.1214,Center Hotel
306,Vila Velha,BR,27.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
309,Caibarien,CU,27.62,scattered clouds,22.5206,-79.4669,La Nena
311,Santa Cruz,BO,30.03,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
312,Diamantino,BR,29.19,overcast clouds,-14.4086,-56.4461,Hotel Delta
315,Yulara,AU,25.91,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
321,Arlit,NE,26.2,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
322,Medianeira,BR,30.04,clear sky,-25.2953,-54.0939,Martinhago Hotel
328,Harper,LR,27.4,overcast clouds,4.375,-7.7169,Screensaver
339,Cap Malheureux,MU,25.27,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
340,Robstown,US,25.88,broken clouds,27.7903,-97.6689,Days Inn by Wyndham Robstown
341,Faanui,PF,27.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
342,Samarai,PG,28.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
355,Touros,BR,31.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
356,Cabo San Lucas,MX,28.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
359,Guarapari,BR,27.94,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
365,Katherine,AU,30.18,overcast clouds,-14.4667,132.2667,Pine Tree Motel
377,Vanimo,PG,25.08,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
378,Bandarbeyla,SO,25.63,few clouds,9.4942,50.8122,JABIR HOTEL
382,Soure,BR,29.66,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
386,Nhulunbuy,AU,27.34,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
396,Comodoro Rivadavia,AR,26.92,clear sky,-45.8667,-67.5,Austral Hotel
400,Karratha,AU,29.66,light rain,-20.7377,116.8463,ibis Styles Karratha
408,Ibipora,BR,34.4,clear sky,-23.2692,-51.0481,Recanto Toatoa Ibiporã
410,Salalah,OM,25.05,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
415,Bathsheba,BB,30.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
422,Santo Domingo Suchitepequez,GT,32.26,clear sky,14.4667,-91.4833,Servicios y Accesorios Tecnológicos
423,Sao Joao Da Barra,BR,30.05,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
424,Puerto Carreno,CO,34.72,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
429,Atar,MR,27.78,broken clouds,20.5169,-13.0499,Oumou Elghoura
430,Hithadhoo,MV,27.74,overcast clouds,-0.6,73.0833,Scoop Guest House
436,Lompoc,US,29.52,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
443,Alfredo Chaves,BR,27.79,broken clouds,-20.635,-40.7497,Recanto do Sonhos
449,Roebourne,AU,30.71,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
450,Pilar,BR,31.96,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
451,Baracoa,CU,27.52,broken clouds,20.3467,-74.4958,Hostal Rio Miel
