City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-11-28 18:10:57,-54.8,-68.3,51.21,51,58,14.94
1,Camana,PE,2021-11-28 18:11:13,-16.6228,-72.7111,70.12,75,68,9.53
2,Tabou,CI,2021-11-28 18:11:14,4.423,-7.3528,80.2,79,55,5.37
3,Souillac,MU,2021-11-28 18:11:14,-20.5167,57.5167,77.38,78,20,4.61
4,Hermanus,ZA,2021-11-28 18:11:14,-34.4187,19.2345,64.6,83,47,10.16
5,Birobidzhan,RU,2021-11-28 18:11:15,48.8,132.95,20.17,96,100,3.78
6,Nanortalik,GL,2021-11-28 18:11:15,60.1432,-45.2371,41.99,91,100,14.94
7,Jiazi,CN,2021-11-28 18:11:15,22.8779,116.067,66.2,86,14,10.31
8,Kapaa,US,2021-11-28 18:11:15,22.0752,-159.319,71.92,78,20,5.75
9,Siniscola,IT,2021-11-28 18:11:16,40.5719,9.6922,45.95,60,27,17.83
10,Farafangana,MG,2021-11-28 18:11:16,-22.8167,47.8333,69.06,67,74,5.12
11,Vaini,TO,2021-11-28 18:11:17,-21.2,-175.2,77.16,78,20,9.22
12,Port Alfred,ZA,2021-11-28 18:06:49,-33.5906,26.891,66.49,80,27,3.56
13,Punta Arenas,CL,2021-11-28 18:11:17,-53.15,-70.9167,51.91,62,75,29.93
14,Kaeo,NZ,2021-11-28 18:11:17,-35.1,173.7833,59.65,88,98,1.57
15,Batagay-Alyta,RU,2021-11-28 18:11:18,67.8006,130.4114,-16.42,92,100,4.07
16,Jamestown,US,2021-11-28 18:11:18,42.097,-79.2353,36.72,86,90,11.5
17,Hithadhoo,MV,2021-11-28 18:11:18,-0.6,73.0833,81.79,74,78,15.99
18,Nhulunbuy,AU,2021-11-28 18:11:19,-12.2333,136.7667,77.61,83,42,0.0
19,Pangai,TO,2021-11-28 18:11:19,-19.8,-174.35,79.05,64,37,21.23
20,Codrington,AU,2021-11-28 18:07:49,-38.2667,141.9667,46.08,95,4,8.05
21,Kodinsk,RU,2021-11-28 18:11:20,58.6881,99.1844,20.26,94,100,7.52
22,Fort William,GB,2021-11-28 18:11:20,56.8165,-5.1121,29.62,92,33,2.15
23,Santa Maria,BR,2021-11-28 18:11:20,-29.6842,-53.8069,72.7,94,75,5.75
24,Chuy,UY,2021-11-28 18:11:20,-33.6971,-53.4616,69.03,93,100,5.35
25,Yairipok,IN,2021-11-28 18:11:21,24.6667,94.0667,53.8,89,17,1.99
26,Klaksvik,FO,2021-11-28 18:11:21,62.2266,-6.589,36.52,74,100,6.33
27,Albany,US,2021-11-28 18:06:53,42.6001,-73.9662,32.65,73,100,5.03
28,Tiksi,RU,2021-11-28 18:11:22,71.6872,128.8694,-11.83,98,100,6.42
29,Beloha,MG,2021-11-28 18:11:22,-25.1667,45.05,63.86,64,34,14.27
30,Shingu,JP,2021-11-28 18:11:22,33.7333,135.9833,43.45,69,23,5.73
31,Mehamn,NO,2021-11-28 18:09:35,71.0357,27.8492,12.38,79,39,18.41
32,Khatanga,RU,2021-11-28 18:11:23,71.9667,102.5,-9.74,97,99,9.53
33,Kaitangata,NZ,2021-11-28 18:11:23,-46.2817,169.8464,45.46,74,74,6.96
34,Prainha,BR,2021-11-28 18:11:23,-1.8,-53.48,89.74,45,100,5.75
35,Mataura,NZ,2021-11-28 18:11:24,-46.1927,168.8643,41.85,88,76,1.32
36,Atar,MR,2021-11-28 18:11:24,20.5169,-13.0499,75.25,35,0,18.41
37,Eureka,US,2021-11-28 18:11:24,40.8021,-124.1637,54.21,83,100,4.07
38,Changde,CN,2021-11-28 18:11:25,29.0464,111.6783,52.88,50,19,3.49
39,Kelamangalam,IN,2021-11-28 18:11:25,12.6,77.85,70.93,97,95,5.59
40,Hami,CN,2021-11-28 18:11:25,42.8,93.45,24.93,60,0,5.41
41,Rikitea,PF,2021-11-28 18:11:25,-23.1203,-134.9692,76.44,73,7,16.58
42,Vardo,NO,2021-11-28 18:11:26,70.3705,31.1107,15.78,86,40,13.8
43,Avarua,CK,2021-11-28 18:07:04,-21.2078,-159.775,75.25,73,16,1.14
44,Severo-Kurilsk,RU,2021-11-28 18:11:26,50.6789,156.125,33.26,73,96,17.2
45,Dikson,RU,2021-11-28 18:11:26,73.5069,80.5464,-14.94,100,100,11.05
46,Lompoc,US,2021-11-28 18:11:27,34.6391,-120.4579,70.52,20,1,3.44
47,Tokur,RU,2021-11-28 18:12:27,53.1333,132.9,8.26,97,100,1.97
48,Gizo,SB,2021-11-28 18:12:27,-8.103,156.8419,82.15,78,91,8.01
49,Mbandaka,CD,2021-11-28 18:12:28,0.0487,18.2603,76.42,81,97,3.89
50,Cidreira,BR,2021-11-28 18:12:28,-30.1811,-50.2056,75.2,79,100,8.93
51,Port Shepstone,ZA,2021-11-28 18:12:28,-30.7414,30.455,71.78,89,18,4.83
52,Suslovo,RU,2021-11-28 18:12:29,56.2167,88.1167,18.36,90,100,14.47
53,Pisco,PE,2021-11-28 18:12:29,-13.7,-76.2167,71.65,68,0,8.05
54,Pevek,RU,2021-11-28 18:12:29,69.7008,170.3133,-0.65,84,98,2.71
55,Barrow,US,2021-11-28 18:12:20,71.2906,-156.7887,-11.18,70,90,10.36
56,Bredasdorp,ZA,2021-11-28 18:12:30,-34.5322,20.0403,65.68,74,54,11.9
57,Kieta,PG,2021-11-28 18:10:35,-6.2167,155.6333,78.28,86,100,0.67
58,Rosetta,EG,2021-11-28 18:12:30,31.4044,30.4164,72.59,64,92,3.15
