City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Toda Raisingh,IN,26.0252,75.4849,19.1,39,100,1.23,overcast clouds
110,Daniel Flores,CR,9.3355,-83.6694,24.16,82,87,0.57,overcast clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,27.98,78,20,7.2,few clouds
112,Bredasdorp,ZA,-34.5322,20.0403,17.38,69,95,5.1,overcast clouds
113,Lavaltrie,CA,45.8834,-73.2824,0.59,51,29,4.12,scattered clouds
114,Kyle,US,29.9984,-97.8715,22.91,83,40,3.27,scattered clouds
115,Razgrad,BG,43.5333,26.5167,4.43,74,9,2.71,clear sky
116,Port Elizabeth,ZA,-33.918,25.5701,22.28,77,0,5.14,clear sky
117,Axim,GH,4.8699,-2.2405,27.11,78,74,3.29,broken clouds
118,Korla,CN,41.7597,86.1469,-4.61,72,0,0.79,clear sky
119,Sinjai,ID,-5.1241,120.253,24.88,79,100,1.81,overcast clouds
120,Narsaq,GL,60.9167,-46.05,3.12,91,98,12.29,light rain
121,Yaizu,JP,34.8667,138.3333,6.17,55,3,9.02,clear sky
122,San Ramon,US,37.7799,-121.978,18.31,83,1,0.0,clear sky
123,Boras,SE,57.721,12.9401,-3.98,90,100,7.14,snow
124,Singaparna,ID,-7.3515,108.111,21.65,95,99,0.49,overcast clouds
125,Laguna,US,38.421,-121.4238,22.34,90,1,0.45,mist
126,Muros,ES,42.7762,-9.0603,12.69,86,100,6.83,overcast clouds
127,Sindor,RU,62.8629,51.8905,-3.99,94,100,3.21,overcast clouds
128,Tiksi,RU,71.6872,128.8694,-32.26,99,96,2.51,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,18.63,67,0,10.87,clear sky
130,Bubaque,GW,11.2833,-15.8333,27.96,62,63,5.73,broken clouds
131,Concordia,AR,-31.393,-58.0209,27.1,48,75,3.58,broken clouds
132,Isangel,VU,-19.55,169.2667,25.6,85,48,4.95,scattered clouds
133,New Norfolk,AU,-42.7826,147.0587,15.37,72,95,0.76,overcast clouds
134,Mayo,US,38.8876,-76.5119,14.49,56,8,2.68,clear sky
135,Maningrida,AU,-12.0667,134.2667,28.38,76,30,1.67,scattered clouds
136,Saint-Prosper,CA,46.2117,-70.4811,-0.18,81,100,7.24,light snow
137,Raga,SS,8.4596,25.678,28.76,24,99,2.0,overcast clouds
138,Torbay,CA,47.6666,-52.7314,5.93,70,75,7.2,broken clouds
139,Muli,MV,2.9167,73.5667,27.61,78,78,3.39,broken clouds
140,Kavieng,PG,-2.5744,150.7967,27.78,72,33,3.58,scattered clouds
141,Kalmunai,LK,7.4167,81.8167,25.52,80,34,0.95,scattered clouds
142,Vinh,VN,18.6667,105.6667,16.34,75,23,2.33,few clouds
143,Sechura,PE,-5.5569,-80.8222,24.95,59,99,6.07,overcast clouds
144,Karpogory,RU,64.0019,44.4451,-6.01,95,99,3.42,overcast clouds
145,Inhambane,MZ,-23.865,35.3833,24.99,78,40,3.09,scattered clouds
146,Dingle,PH,10.9995,122.6711,24.09,92,100,2.65,light rain
147,Mocuba,MZ,-16.8392,36.9856,25.5,81,33,3.03,light rain
148,Nampa,US,43.5407,-116.5635,16.02,100,1,2.06,mist
149,Roma,US,43.2128,-75.4557,5.62,72,90,4.63,overcast clouds
150,Portland,US,45.5234,-122.6762,14.47,93,75,0.0,broken clouds
151,Ponta Do Sol,PT,32.6667,-17.1,20.4,70,24,3.32,few clouds
152,Bestobe,KZ,52.4994,73.0975,-7.16,76,90,4.82,overcast clouds
153,Takoradi,GH,4.8845,-1.7554,27.4,76,74,3.87,broken clouds
154,Pevek,RU,69.7008,170.3133,-19.87,96,100,4.15,light snow
155,Acapulco,MX,16.8634,-99.8901,29.9,62,20,1.54,few clouds
156,Ravar,IR,31.2656,56.8055,14.25,31,36,1.29,scattered clouds
157,Sao Filipe,CV,14.8961,-24.4956,23.8,67,100,6.11,overcast clouds
158,Itaquyry,PY,-24.9333,-55.2167,31.12,22,0,1.09,clear sky
159,Coihaique,CL,-45.5752,-72.0662,12.34,76,90,2.57,light intensity shower rain
160,Phonhong,LA,18.5007,102.4166,17.73,83,25,0.75,scattered clouds
161,San Carlos,VE,9.6612,-68.5827,34.57,35,21,0.91,few clouds
162,Krasnoselkup,RU,65.7,82.4667,-19.81,95,99,6.48,overcast clouds
163,Bamiantong,CN,44.9333,130.5333,-11.74,83,20,5.84,few clouds
164,Victoria,HK,22.2855,114.1577,16.99,41,52,0.45,broken clouds
165,Namanga,KE,-2.5433,36.7905,19.75,73,83,3.46,broken clouds
166,Sinnamary,GF,5.3833,-52.95,26.2,88,99,5.37,moderate rain
167,Mar Del Plata,AR,-38.0023,-57.5575,17.01,81,0,7.15,clear sky
168,Gasa,PS,31.5,34.4667,18.99,66,62,6.87,broken clouds
169,Ternate,ID,0.8,127.4,27.37,79,100,1.85,light rain
170,Kodiak,US,57.79,-152.4072,-9.27,57,90,6.17,overcast clouds
171,Aklavik,CA,68.2191,-135.0107,-31.0,76,90,2.57,overcast clouds
172,Enterprise,US,36.0252,-115.2419,19.25,23,20,0.45,few clouds
173,Sevierville,US,35.8681,-83.5618,18.5,57,1,2.06,clear sky
174,Port Alfred,ZA,-33.5906,26.891,20.52,85,66,9.13,broken clouds
175,Tautira,PF,-17.7333,-149.15,28.01,78,94,9.24,light rain
176,Presidente Medici,BR,-11.1753,-61.9014,29.33,74,98,1.73,overcast clouds
177,Tombouctou,ML,20.0,-3.0,26.38,13,22,3.29,few clouds
178,Beringovskiy,RU,63.05,179.3167,-2.95,96,100,10.15,snow
179,Turukhansk,RU,65.8167,87.9833,-21.78,87,100,3.22,overcast clouds
180,Oranjemund,NA,-28.55,16.4333,17.24,81,0,6.05,clear sky
181,Severo-Kurilsk,RU,50.6789,156.125,6.67,92,100,16.51,heavy intensity rain
182,Clyde River,CA,70.4692,-68.5914,-13.87,85,100,13.89,snow
183,Pisco,PE,-13.7,-76.2167,21.12,73,0,4.63,clear sky
184,Vila Do Maio,CV,15.1333,-23.2167,24.44,67,100,8.62,overcast clouds
185,Bambous Virieux,MU,-20.3428,57.7575,25.14,78,40,3.6,light rain
186,Cidreira,BR,-30.1811,-50.2056,21.3,65,71,5.76,broken clouds
187,Huarmey,PE,-10.0681,-78.1522,22.04,73,69,4.51,broken clouds
188,Bogalusa,US,30.791,-89.8487,22.22,56,1,2.57,clear sky
189,Luoyang,CN,34.6836,112.4536,3.43,34,9,2.45,clear sky
190,Bonavista,CA,48.6499,-53.1147,5.62,63,97,6.71,overcast clouds
191,La Romana,DO,18.4273,-68.9728,31.2,55,40,6.17,scattered clouds
192,Manaure,CO,11.7751,-72.4445,31.46,52,85,6.12,overcast clouds
193,Nouadhibou,MR,20.931,-17.0347,20.99,56,7,6.17,clear sky
194,Quang Ngai,VN,15.1167,108.8,20.31,86,73,3.51,broken clouds
195,Shirokiy,RU,49.758,129.523,-28.33,100,9,1.26,clear sky
196,Dikson,RU,73.5069,80.5464,-22.17,97,100,7.49,overcast clouds
197,Saint-Pierre,RE,-21.3393,55.4781,24.82,69,0,5.14,clear sky
198,Ribeira Grande,PT,38.5167,-28.7,18.22,82,75,2.57,broken clouds
199,Golspie,GB,57.9727,-3.978,5.21,84,74,7.86,moderate rain
200,Busayra,JO,30.7376,35.6078,10.59,82,100,4.88,overcast clouds
201,Qasigiannguit,GL,68.8193,-51.1922,4.14,82,100,10.89,moderate rain
202,Nanma,CN,36.1817,118.1583,0.29,51,1,2.06,clear sky
203,Lyubech,UA,51.7026,30.6569,-2.19,86,10,3.64,clear sky
204,Khatanga,RU,71.9667,102.5,-34.66,99,99,1.75,overcast clouds
205,Manzhouli,CN,49.6,117.4333,-5.36,75,98,12.32,overcast clouds
206,Kungurtug,RU,50.5994,97.5228,-17.85,94,21,0.72,few clouds
207,Mount Gambier,AU,-37.8333,140.7667,12.95,100,90,3.6,overcast clouds
208,Hasaki,JP,35.7333,140.8333,9.22,50,17,6.6,few clouds
209,Santa Cruz Del Sur,CU,20.7147,-77.9956,29.9,51,2,3.84,clear sky
210,Bethel,US,41.3712,-73.414,8.91,54,1,1.34,clear sky
211,Hilo,US,19.7297,-155.09,23.49,91,20,3.09,few clouds
212,Jussara,BR,-23.6214,-52.4694,32.98,27,1,2.87,clear sky
213,Souillac,MU,-20.5167,57.5167,25.21,78,40,3.6,light rain
214,Sendafa,ET,9.15,39.0333,10.66,55,96,1.12,overcast clouds
215,Saskylakh,RU,71.9167,114.0833,-36.73,100,99,0.84,overcast clouds
216,Conakry,GN,9.538,-13.6773,30.2,74,20,5.14,few clouds
217,Ludvika,SE,60.1496,15.1878,-9.42,67,100,0.59,overcast clouds
218,Pareora,NZ,-44.4871,171.2132,13.43,97,92,4.59,overcast clouds
219,Taoudenni,ML,22.6783,-3.9836,23.47,11,95,5.02,overcast clouds
220,San Jacinto,US,33.7839,-116.9586,28.32,13,1,0.17,clear sky
221,Abilene,US,32.4487,-99.7331,22.93,34,1,0.45,clear sky
222,Upernavik,GL,72.7868,-56.1549,-4.82,66,100,3.51,overcast clouds
223,Manokwari,ID,-0.8667,134.0833,26.18,81,99,2.12,heavy intensity rain
224,Aleksandriya,RU,45.0947,43.2456,2.96,65,28,1.99,scattered clouds
225,Zatyshshya,UA,47.3335,29.8733,0.48,74,56,1.01,broken clouds
226,Marsh Harbour,BS,26.5412,-77.0636,24.15,65,3,6.71,clear sky
227,Dakar,SN,14.6937,-17.4441,27.49,73,100,2.06,dust
228,Sumbe,AO,-11.2061,13.8437,25.96,86,75,2.94,broken clouds
229,Quatre Cocos,MU,-20.2078,57.7625,25.06,76,44,5.12,light rain
230,Castro,BR,-24.7911,-50.0119,29.12,33,0,1.56,clear sky
231,Puerto Ayora,EC,-0.7393,-90.3518,24.98,75,73,4.21,broken clouds
232,Sept-Iles,CA,50.2001,-66.3821,-2.75,62,90,2.06,overcast clouds
233,Vestmanna,FO,62.1564,-7.1664,-0.49,80,90,10.29,light snow
234,San Patricio,US,28.017,-97.5169,26.04,58,94,2.89,overcast clouds
235,Husavik,IS,66.0449,-17.3389,-6.05,94,100,5.59,overcast clouds
236,Excelsior Springs,US,39.3392,-94.2261,16.58,50,1,1.54,clear sky
237,Ancud,CL,-41.8697,-73.8203,13.74,58,95,6.22,overcast clouds
238,Bengkulu,ID,-3.8004,102.2655,23.71,87,59,1.72,broken clouds
239,Maniitsoq,GL,65.4167,-52.9,1.56,92,100,14.12,light rain
240,Moose Factory,CA,51.2585,-80.6094,-12.0,72,1,4.63,clear sky
241,Sioux Lookout,CA,50.1001,-91.917,-2.96,100,90,2.57,light snow
242,Anloga,GH,5.7947,0.8973,30.12,74,56,4.87,broken clouds
243,Sarangani,PH,5.4033,125.4636,27.98,77,98,5.43,overcast clouds
244,Lloydminster,CA,53.2835,-110.0016,4.82,56,75,7.72,broken clouds
245,Guerrero Negro,MX,27.9769,-114.0611,21.82,52,0,0.49,clear sky
246,Honiara,SB,-9.4333,159.95,25.16,87,91,1.48,overcast clouds
247,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-4.67,100,90,4.0,snow
248,Coquimbo,CL,-29.9533,-71.3436,18.85,59,0,6.17,clear sky
249,Nanortalik,GL,60.1432,-45.2371,0.81,97,99,14.57,snow
250,Aripuana,BR,-9.1667,-60.6333,24.23,97,100,1.51,overcast clouds
251,Caravelas,BR,-17.7125,-39.2481,27.79,79,86,4.37,light rain
252,Olavarria,AR,-36.8927,-60.3225,25.07,34,25,4.17,scattered clouds
253,Pemberton,CA,50.3164,-122.8027,10.92,100,100,4.28,overcast clouds
254,Cap-Aux-Meules,CA,47.3821,-61.8597,0.03,64,75,6.69,light shower snow
255,San Cristobal,VE,7.7669,-72.225,24.1,38,77,1.33,broken clouds
256,Monterey,US,36.2505,-121.2516,17.28,32,0,1.52,clear sky
257,Ponta Delgada,PT,37.7333,-25.6667,19.72,82,40,6.17,scattered clouds
